部件報告

測量設定資料名,5880-大尾巴-完整Set-軟墊量測_正確版_1
測量日期及時間,2025/12/23 下午 02:26:09
批號,
串列計數器,241456
擔當者,
商品名,
測量機器,KEYENCE LM-X Series(DESKTOP-O5ESJ05)
綜合判定,NG
備註,

＜測量結果＞
No,測量專案,實測值,單位,設計值,上限公差,下限公差,判斷
40,NO.40,2.695,mm,2.700,0.050,-0.050,OK,
41,NO.41,2.696,mm,2.700,0.050,-0.050,OK,
42,NO.42,2.697,mm,2.700,0.050,-0.050,OK,
43,NO.43,2.689,mm,2.700,0.050,-0.050,OK,
44,NO.44,2.687,mm,2.700,0.050,-0.050,OK,
45,NO.45,2.694,mm,2.700,0.050,-0.050,OK,
46,NO.46,2.696,mm,2.700,0.050,-0.050,OK,
47,NO.47,2.691,mm,2.700,0.050,-0.050,OK,
48,NO.48,2.689,mm,2.700,0.050,-0.050,OK,
49,NO.49,2.697,mm,2.700,0.050,-0.050,OK,
50,NO.50,2.692,mm,2.700,0.050,-0.050,OK,
51,NO.51,2.690,mm,2.700,0.050,-0.050,OK,
52,NO.52,2.696,mm,2.700,0.050,-0.050,OK,
53,NO.53,2.696,mm,2.700,0.050,-0.050,OK,
54,NO.54,2.689,mm,2.700,0.050,-0.050,OK,
55,NO.55,2.692,mm,2.700,0.050,-0.050,OK,
56,NO.56,2.692,mm,2.700,0.050,-0.050,OK,
57,NO.57,2.687,mm,2.700,0.050,-0.050,OK,
58,NO.58,2.695,mm,2.700,0.050,-0.050,OK,
59,NO.59,2.689,mm,2.700,0.050,-0.050,OK,
60,NO.60,2.686,mm,2.700,0.050,-0.050,OK,
61,AA區長度,108.738,mm,108.600,0.200,-0.200,OK,
62,AA區寬度,68.611,mm,68.500,0.200,-0.200,OK,
63,熱壓模組長度,140.177,mm,140.140,0.200,-0.200,OK,
64,熱壓模組寬度,90.562,mm,90.500,0.200,-0.200,OK,
65,NO.13_XY座標[X座標],16.290,mm,16.070,0.200,-0.200,NG,
65,NO.13_XY座標[Y座標],94.515,mm,94.500,0.200,-0.200,OK,
66,NO.30_XY座標[X座標],118.124,mm,118.070,0.200,-0.200,OK,
66,NO.30_XY座標[Y座標],94.458,mm,94.500,0.200,-0.200,OK,
67,NO.31_XY座標[X座標],124.431,mm,124.370,0.200,-0.200,OK,
67,NO.31_XY座標[Y座標],90.165,mm,90.250,0.200,-0.200,OK,
68,NO.42_XY座標[X座標],124.475,mm,124.370,0.200,-0.200,OK,
68,NO.42_XY座標[Y座標],24.287,mm,24.250,0.200,-0.200,OK,
69,NO.43_XY座標007[X座標],118.127,mm,118.070,0.200,-0.200,OK,
69,NO.43_XY座標007[Y座標],20.029,mm,20.000,0.200,-0.200,OK,
70,NO.60_XY座標[X座標],16.245,mm,16.070,0.200,-0.200,OK,
70,NO.60_XY座標[Y座標],20.025,mm,20.000,0.200,-0.200,OK,
71,AA區平面度,0.065,mm,0.000,0.020,0.000,NG,
71,AA區平面度[1],0.034,mm,0.000,0.000,0.000,---,
71,AA區平面度[2],0.034,mm,0.000,0.000,0.000,---,
71,AA區平面度[3],0.027,mm,0.000,0.000,0.000,---,
71,AA區平面度[4],0.022,mm,0.000,0.000,0.000,---,
71,AA區平面度[5],0.017,mm,0.000,0.000,0.000,---,
71,AA區平面度[6],0.013,mm,0.000,0.000,0.000,---,
71,AA區平面度[7],0.010,mm,0.000,0.000,0.000,---,
71,AA區平面度[8],0.008,mm,0.000,0.000,0.000,---,
71,AA區平面度[9],0.007,mm,0.000,0.000,0.000,---,
71,AA區平面度[10],0.006,mm,0.000,0.000,0.000,---,
71,AA區平面度[11],-0.004,mm,0.000,0.000,0.000,---,
71,AA區平面度[12],-0.004,mm,0.000,0.000,0.000,---,
71,AA區平面度[13],-0.002,mm,0.000,0.000,0.000,---,
71,AA區平面度[14],0.000,mm,0.000,0.000,0.000,---,
71,AA區平面度[15],0.001,mm,0.000,0.000,0.000,---,
71,AA區平面度[16],0.000,mm,0.000,0.000,0.000,---,
71,AA區平面度[17],0.003,mm,0.000,0.000,0.000,---,
71,AA區平面度[18],0.006,mm,0.000,0.000,0.000,---,
71,AA區平面度[19],0.014,mm,0.000,0.000,0.000,---,
71,AA區平面度[20],0.020,mm,0.000,0.000,0.000,---,
71,AA區平面度[21],0.027,mm,0.000,0.000,0.000,---,
71,AA區平面度[22],0.030,mm,0.000,0.000,0.000,---,
71,AA區平面度[23],0.034,mm,0.000,0.000,0.000,---,
71,AA區平面度[24],0.026,mm,0.000,0.000,0.000,---,
71,AA區平面度[25],0.021,mm,0.000,0.000,0.000,---,
71,AA區平面度[26],0.016,mm,0.000,0.000,0.000,---,
71,AA區平面度[27],0.012,mm,0.000,0.000,0.000,---,
71,AA區平面度[28],-0.001,mm,0.000,0.000,0.000,---,
71,AA區平面度[29],-0.004,mm,0.000,0.000,0.000,---,
71,AA區平面度[30],-0.006,mm,0.000,0.000,0.000,---,
71,AA區平面度[31],-0.007,mm,0.000,0.000,0.000,---,
71,AA區平面度[32],-0.008,mm,0.000,0.000,0.000,---,
71,AA區平面度[33],-0.008,mm,0.000,0.000,0.000,---,
71,AA區平面度[34],-0.008,mm,0.000,0.000,0.000,---,
71,AA區平面度[35],-0.007,mm,0.000,0.000,0.000,---,
71,AA區平面度[36],-0.006,mm,0.000,0.000,0.000,---,
71,AA區平面度[37],-0.004,mm,0.000,0.000,0.000,---,
71,AA區平面度[38],-0.005,mm,0.000,0.000,0.000,---,
71,AA區平面度[39],-0.002,mm,0.000,0.000,0.000,---,
71,AA區平面度[40],0.002,mm,0.000,0.000,0.000,---,
71,AA區平面度[41],0.007,mm,0.000,0.000,0.000,---,
71,AA區平面度[42],0.013,mm,0.000,0.000,0.000,---,
71,AA區平面度[43],0.019,mm,0.000,0.000,0.000,---,
71,AA區平面度[44],0.026,mm,0.000,0.000,0.000,---,
71,AA區平面度[45],0.027,mm,0.000,0.000,0.000,---,
71,AA區平面度[46],0.016,mm,0.000,0.000,0.000,---,
71,AA區平面度[47],0.008,mm,0.000,0.000,0.000,---,
71,AA區平面度[48],0.002,mm,0.000,0.000,0.000,---,
71,AA區平面度[49],-0.003,mm,0.000,0.000,0.000,---,
71,AA區平面度[50],-0.005,mm,0.000,0.000,0.000,---,
71,AA區平面度[51],-0.008,mm,0.000,0.000,0.000,---,
71,AA區平面度[52],-0.010,mm,0.000,0.000,0.000,---,
71,AA區平面度[53],-0.011,mm,0.000,0.000,0.000,---,
71,AA區平面度[54],-0.012,mm,0.000,0.000,0.000,---,
71,AA區平面度[55],-0.012,mm,0.000,0.000,0.000,---,
71,AA區平面度[56],-0.011,mm,0.000,0.000,0.000,---,
71,AA區平面度[57],-0.010,mm,0.000,0.000,0.000,---,
71,AA區平面度[58],-0.008,mm,0.000,0.000,0.000,---,
71,AA區平面度[59],-0.008,mm,0.000,0.000,0.000,---,
71,AA區平面度[60],-0.008,mm,0.000,0.000,0.000,---,
71,AA區平面度[61],-0.006,mm,0.000,0.000,0.000,---,
71,AA區平面度[62],-0.001,mm,0.000,0.000,0.000,---,
71,AA區平面度[63],0.004,mm,0.000,0.000,0.000,---,
71,AA區平面度[64],0.010,mm,0.000,0.000,0.000,---,
71,AA區平面度[65],0.017,mm,0.000,0.000,0.000,---,
71,AA區平面度[66],0.023,mm,0.000,0.000,0.000,---,
71,AA區平面度[67],0.023,mm,0.000,0.000,0.000,---,
71,AA區平面度[68],0.013,mm,0.000,0.000,0.000,---,
71,AA區平面度[69],0.007,mm,0.000,0.000,0.000,---,
71,AA區平面度[70],0.000,mm,0.000,0.000,0.000,---,
71,AA區平面度[71],-0.005,mm,0.000,0.000,0.000,---,
71,AA區平面度[72],-0.008,mm,0.000,0.000,0.000,---,
71,AA區平面度[73],-0.011,mm,0.000,0.000,0.000,---,
71,AA區平面度[74],-0.013,mm,0.000,0.000,0.000,---,
71,AA區平面度[75],-0.015,mm,0.000,0.000,0.000,---,
71,AA區平面度[76],-0.015,mm,0.000,0.000,0.000,---,
71,AA區平面度[77],-0.015,mm,0.000,0.000,0.000,---,
71,AA區平面度[78],-0.015,mm,0.000,0.000,0.000,---,
71,AA區平面度[79],-0.013,mm,0.000,0.000,0.000,---,
71,AA區平面度[80],-0.012,mm,0.000,0.000,0.000,---,
71,AA區平面度[81],-0.011,mm,0.000,0.000,0.000,---,
71,AA區平面度[82],-0.009,mm,0.000,0.000,0.000,---,
71,AA區平面度[83],-0.008,mm,0.000,0.000,0.000,---,
71,AA區平面度[84],-0.005,mm,0.000,0.000,0.000,---,
71,AA區平面度[85],0.001,mm,0.000,0.000,0.000,---,
71,AA區平面度[86],0.007,mm,0.000,0.000,0.000,---,
71,AA區平面度[87],0.014,mm,0.000,0.000,0.000,---,
71,AA區平面度[88],0.021,mm,0.000,0.000,0.000,---,
71,AA區平面度[89],0.022,mm,0.000,0.000,0.000,---,
71,AA區平面度[90],0.011,mm,0.000,0.000,0.000,---,
71,AA區平面度[91],0.006,mm,0.000,0.000,0.000,---,
71,AA區平面度[92],-0.002,mm,0.000,0.000,0.000,---,
71,AA區平面度[93],-0.007,mm,0.000,0.000,0.000,---,
71,AA區平面度[94],-0.010,mm,0.000,0.000,0.000,---,
71,AA區平面度[95],-0.013,mm,0.000,0.000,0.000,---,
71,AA區平面度[96],-0.016,mm,0.000,0.000,0.000,---,
71,AA區平面度[97],-0.016,mm,0.000,0.000,0.000,---,
71,AA區平面度[98],-0.017,mm,0.000,0.000,0.000,---,
71,AA區平面度[99],-0.017,mm,0.000,0.000,0.000,---,
71,AA區平面度[100],-0.017,mm,0.000,0.000,0.000,---,
71,AA區平面度[101],-0.015,mm,0.000,0.000,0.000,---,
71,AA區平面度[102],-0.013,mm,0.000,0.000,0.000,---,
71,AA區平面度[103],-0.011,mm,0.000,0.000,0.000,---,
71,AA區平面度[104],-0.009,mm,0.000,0.000,0.000,---,
71,AA區平面度[105],-0.010,mm,0.000,0.000,0.000,---,
71,AA區平面度[106],-0.006,mm,0.000,0.000,0.000,---,
71,AA區平面度[107],0.000,mm,0.000,0.000,0.000,---,
71,AA區平面度[108],0.006,mm,0.000,0.000,0.000,---,
71,AA區平面度[109],0.014,mm,0.000,0.000,0.000,---,
71,AA區平面度[110],0.021,mm,0.000,0.000,0.000,---,
71,AA區平面度[111],0.019,mm,0.000,0.000,0.000,---,
71,AA區平面度[112],0.011,mm,0.000,0.000,0.000,---,
71,AA區平面度[113],0.004,mm,0.000,0.000,0.000,---,
71,AA區平面度[114],-0.002,mm,0.000,0.000,0.000,---,
71,AA區平面度[115],-0.007,mm,0.000,0.000,0.000,---,
71,AA區平面度[116],-0.011,mm,0.000,0.000,0.000,---,
71,AA區平面度[117],-0.014,mm,0.000,0.000,0.000,---,
71,AA區平面度[118],-0.017,mm,0.000,0.000,0.000,---,
71,AA區平面度[119],-0.018,mm,0.000,0.000,0.000,---,
71,AA區平面度[120],-0.018,mm,0.000,0.000,0.000,---,
71,AA區平面度[121],-0.018,mm,0.000,0.000,0.000,---,
71,AA區平面度[122],-0.017,mm,0.000,0.000,0.000,---,
71,AA區平面度[123],-0.016,mm,0.000,0.000,0.000,---,
71,AA區平面度[124],-0.014,mm,0.000,0.000,0.000,---,
71,AA區平面度[125],-0.014,mm,0.000,0.000,0.000,---,
71,AA區平面度[126],-0.013,mm,0.000,0.000,0.000,---,
71,AA區平面度[127],-0.011,mm,0.000,0.000,0.000,---,
71,AA區平面度[128],-0.007,mm,0.000,0.000,0.000,---,
71,AA區平面度[129],-0.001,mm,0.000,0.000,0.000,---,
71,AA區平面度[130],0.004,mm,0.000,0.000,0.000,---,
71,AA區平面度[131],0.012,mm,0.000,0.000,0.000,---,
71,AA區平面度[132],0.020,mm,0.000,0.000,0.000,---,
71,AA區平面度[133],0.018,mm,0.000,0.000,0.000,---,
71,AA區平面度[134],0.010,mm,0.000,0.000,0.000,---,
71,AA區平面度[135],0.004,mm,0.000,0.000,0.000,---,
71,AA區平面度[136],-0.002,mm,0.000,0.000,0.000,---,
71,AA區平面度[137],-0.007,mm,0.000,0.000,0.000,---,
71,AA區平面度[138],-0.010,mm,0.000,0.000,0.000,---,
71,AA區平面度[139],-0.013,mm,0.000,0.000,0.000,---,
71,AA區平面度[140],-0.015,mm,0.000,0.000,0.000,---,
71,AA區平面度[141],-0.017,mm,0.000,0.000,0.000,---,
71,AA區平面度[142],-0.018,mm,0.000,0.000,0.000,---,
71,AA區平面度[143],-0.018,mm,0.000,0.000,0.000,---,
71,AA區平面度[144],-0.017,mm,0.000,0.000,0.000,---,
71,AA區平面度[145],-0.016,mm,0.000,0.000,0.000,---,
71,AA區平面度[146],-0.014,mm,0.000,0.000,0.000,---,
71,AA區平面度[147],-0.013,mm,0.000,0.000,0.000,---,
71,AA區平面度[148],-0.012,mm,0.000,0.000,0.000,---,
71,AA區平面度[149],-0.011,mm,0.000,0.000,0.000,---,
71,AA區平面度[150],-0.007,mm,0.000,0.000,0.000,---,
71,AA區平面度[151],-0.001,mm,0.000,0.000,0.000,---,
71,AA區平面度[152],0.006,mm,0.000,0.000,0.000,---,
71,AA區平面度[153],0.014,mm,0.000,0.000,0.000,---,
71,AA區平面度[154],0.021,mm,0.000,0.000,0.000,---,
71,AA區平面度[155],0.021,mm,0.000,0.000,0.000,---,
71,AA區平面度[156],0.011,mm,0.000,0.000,0.000,---,
71,AA區平面度[157],0.005,mm,0.000,0.000,0.000,---,
71,AA區平面度[158],-0.002,mm,0.000,0.000,0.000,---,
71,AA區平面度[159],-0.006,mm,0.000,0.000,0.000,---,
71,AA區平面度[160],-0.010,mm,0.000,0.000,0.000,---,
71,AA區平面度[161],-0.013,mm,0.000,0.000,0.000,---,
71,AA區平面度[162],-0.014,mm,0.000,0.000,0.000,---,
71,AA區平面度[163],-0.016,mm,0.000,0.000,0.000,---,
71,AA區平面度[164],-0.018,mm,0.000,0.000,0.000,---,
71,AA區平面度[165],-0.016,mm,0.000,0.000,0.000,---,
71,AA區平面度[166],-0.016,mm,0.000,0.000,0.000,---,
71,AA區平面度[167],-0.015,mm,0.000,0.000,0.000,---,
71,AA區平面度[168],-0.014,mm,0.000,0.000,0.000,---,
71,AA區平面度[169],-0.015,mm,0.000,0.000,0.000,---,
71,AA區平面度[170],-0.011,mm,0.000,0.000,0.000,---,
71,AA區平面度[171],-0.010,mm,0.000,0.000,0.000,---,
71,AA區平面度[172],-0.006,mm,0.000,0.000,0.000,---,
71,AA區平面度[173],0.000,mm,0.000,0.000,0.000,---,
71,AA區平面度[174],0.006,mm,0.000,0.000,0.000,---,
71,AA區平面度[175],0.013,mm,0.000,0.000,0.000,---,
71,AA區平面度[176],0.022,mm,0.000,0.000,0.000,---,
71,AA區平面度[177],0.020,mm,0.000,0.000,0.000,---,
71,AA區平面度[178],0.013,mm,0.000,0.000,0.000,---,
71,AA區平面度[179],0.005,mm,0.000,0.000,0.000,---,
71,AA區平面度[180],0.000,mm,0.000,0.000,0.000,---,
71,AA區平面度[181],-0.005,mm,0.000,0.000,0.000,---,
71,AA區平面度[182],-0.009,mm,0.000,0.000,0.000,---,
71,AA區平面度[183],-0.012,mm,0.000,0.000,0.000,---,
71,AA區平面度[184],-0.013,mm,0.000,0.000,0.000,---,
71,AA區平面度[185],-0.014,mm,0.000,0.000,0.000,---,
71,AA區平面度[186],-0.016,mm,0.000,0.000,0.000,---,
71,AA區平面度[187],-0.016,mm,0.000,0.000,0.000,---,
71,AA區平面度[188],-0.015,mm,0.000,0.000,0.000,---,
71,AA區平面度[189],-0.018,mm,0.000,0.000,0.000,---,
71,AA區平面度[190],-0.014,mm,0.000,0.000,0.000,---,
71,AA區平面度[191],-0.016,mm,0.000,0.000,0.000,---,
71,AA區平面度[192],-0.013,mm,0.000,0.000,0.000,---,
71,AA區平面度[193],-0.010,mm,0.000,0.000,0.000,---,
71,AA區平面度[194],-0.006,mm,0.000,0.000,0.000,---,
71,AA區平面度[195],0.001,mm,0.000,0.000,0.000,---,
71,AA區平面度[196],0.007,mm,0.000,0.000,0.000,---,
71,AA區平面度[197],0.015,mm,0.000,0.000,0.000,---,
71,AA區平面度[198],0.023,mm,0.000,0.000,0.000,---,
71,AA區平面度[199],0.025,mm,0.000,0.000,0.000,---,
71,AA區平面度[200],0.015,mm,0.000,0.000,0.000,---,
71,AA區平面度[201],0.008,mm,0.000,0.000,0.000,---,
71,AA區平面度[202],0.002,mm,0.000,0.000,0.000,---,
71,AA區平面度[203],-0.003,mm,0.000,0.000,0.000,---,
71,AA區平面度[204],-0.008,mm,0.000,0.000,0.000,---,
71,AA區平面度[205],-0.010,mm,0.000,0.000,0.000,---,
71,AA區平面度[206],-0.012,mm,0.000,0.000,0.000,---,
71,AA區平面度[207],-0.013,mm,0.000,0.000,0.000,---,
71,AA區平面度[208],-0.013,mm,0.000,0.000,0.000,---,
71,AA區平面度[209],-0.015,mm,0.000,0.000,0.000,---,
71,AA區平面度[210],-0.015,mm,0.000,0.000,0.000,---,
71,AA區平面度[211],-0.018,mm,0.000,0.000,0.000,---,
71,AA區平面度[212],-0.017,mm,0.000,0.000,0.000,---,
71,AA區平面度[213],-0.014,mm,0.000,0.000,0.000,---,
71,AA區平面度[214],-0.011,mm,0.000,0.000,0.000,---,
71,AA區平面度[215],-0.007,mm,0.000,0.000,0.000,---,
71,AA區平面度[216],-0.003,mm,0.000,0.000,0.000,---,
71,AA區平面度[217],0.003,mm,0.000,0.000,0.000,---,
71,AA區平面度[218],0.009,mm,0.000,0.000,0.000,---,
71,AA區平面度[219],0.016,mm,0.000,0.000,0.000,---,
71,AA區平面度[220],0.025,mm,0.000,0.000,0.000,---,
71,AA區平面度[221],0.025,mm,0.000,0.000,0.000,---,
71,AA區平面度[222],0.017,mm,0.000,0.000,0.000,---,
71,AA區平面度[223],0.010,mm,0.000,0.000,0.000,---,
71,AA區平面度[224],0.003,mm,0.000,0.000,0.000,---,
71,AA區平面度[225],-0.002,mm,0.000,0.000,0.000,---,
71,AA區平面度[226],-0.005,mm,0.000,0.000,0.000,---,
71,AA區平面度[227],-0.007,mm,0.000,0.000,0.000,---,
71,AA區平面度[228],-0.010,mm,0.000,0.000,0.000,---,
71,AA區平面度[229],-0.012,mm,0.000,0.000,0.000,---,
71,AA區平面度[230],-0.014,mm,0.000,0.000,0.000,---,
71,AA區平面度[231],-0.018,mm,0.000,0.000,0.000,---,
71,AA區平面度[232],-0.018,mm,0.000,0.000,0.000,---,
71,AA區平面度[233],-0.016,mm,0.000,0.000,0.000,---,
71,AA區平面度[234],-0.016,mm,0.000,0.000,0.000,---,
71,AA區平面度[235],-0.013,mm,0.000,0.000,0.000,---,
71,AA區平面度[236],-0.010,mm,0.000,0.000,0.000,---,
71,AA區平面度[237],-0.006,mm,0.000,0.000,0.000,---,
71,AA區平面度[238],-0.002,mm,0.000,0.000,0.000,---,
71,AA區平面度[239],0.004,mm,0.000,0.000,0.000,---,
71,AA區平面度[240],0.011,mm,0.000,0.000,0.000,---,
71,AA區平面度[241],0.018,mm,0.000,0.000,0.000,---,
71,AA區平面度[242],0.027,mm,0.000,0.000,0.000,---,
71,AA區平面度[243],0.030,mm,0.000,0.000,0.000,---,
71,AA區平面度[244],0.019,mm,0.000,0.000,0.000,---,
71,AA區平面度[245],0.013,mm,0.000,0.000,0.000,---,
71,AA區平面度[246],0.007,mm,0.000,0.000,0.000,---,
71,AA區平面度[247],0.001,mm,0.000,0.000,0.000,---,
71,AA區平面度[248],-0.002,mm,0.000,0.000,0.000,---,
71,AA區平面度[249],-0.005,mm,0.000,0.000,0.000,---,
71,AA區平面度[250],-0.008,mm,0.000,0.000,0.000,---,
71,AA區平面度[251],-0.011,mm,0.000,0.000,0.000,---,
71,AA區平面度[252],-0.012,mm,0.000,0.000,0.000,---,
71,AA區平面度[253],-0.016,mm,0.000,0.000,0.000,---,
71,AA區平面度[254],-0.015,mm,0.000,0.000,0.000,---,
71,AA區平面度[255],-0.015,mm,0.000,0.000,0.000,---,
71,AA區平面度[256],-0.013,mm,0.000,0.000,0.000,---,
71,AA區平面度[257],-0.011,mm,0.000,0.000,0.000,---,
71,AA區平面度[258],-0.008,mm,0.000,0.000,0.000,---,
71,AA區平面度[259],-0.003,mm,0.000,0.000,0.000,---,
71,AA區平面度[260],0.002,mm,0.000,0.000,0.000,---,
71,AA區平面度[261],0.008,mm,0.000,0.000,0.000,---,
71,AA區平面度[262],0.015,mm,0.000,0.000,0.000,---,
71,AA區平面度[263],0.022,mm,0.000,0.000,0.000,---,
71,AA區平面度[264],0.031,mm,0.000,0.000,0.000,---,
71,AA區平面度[265],0.030,mm,0.000,0.000,0.000,---,
71,AA區平面度[266],0.023,mm,0.000,0.000,0.000,---,
71,AA區平面度[267],0.017,mm,0.000,0.000,0.000,---,
71,AA區平面度[268],0.010,mm,0.000,0.000,0.000,---,
71,AA區平面度[269],0.005,mm,0.000,0.000,0.000,---,
71,AA區平面度[270],0.001,mm,0.000,0.000,0.000,---,
71,AA區平面度[271],-0.004,mm,0.000,0.000,0.000,---,
71,AA區平面度[272],-0.008,mm,0.000,0.000,0.000,---,
71,AA區平面度[273],-0.011,mm,0.000,0.000,0.000,---,
71,AA區平面度[274],-0.014,mm,0.000,0.000,0.000,---,
71,AA區平面度[275],-0.015,mm,0.000,0.000,0.000,---,
71,AA區平面度[276],-0.016,mm,0.000,0.000,0.000,---,
71,AA區平面度[277],-0.013,mm,0.000,0.000,0.000,---,
71,AA區平面度[278],-0.012,mm,0.000,0.000,0.000,---,
71,AA區平面度[279],-0.009,mm,0.000,0.000,0.000,---,
71,AA區平面度[280],-0.005,mm,0.000,0.000,0.000,---,
71,AA區平面度[281],-0.001,mm,0.000,0.000,0.000,---,
71,AA區平面度[282],0.005,mm,0.000,0.000,0.000,---,
71,AA區平面度[283],0.011,mm,0.000,0.000,0.000,---,
71,AA區平面度[284],0.019,mm,0.000,0.000,0.000,---,
71,AA區平面度[285],0.026,mm,0.000,0.000,0.000,---,
71,AA區平面度[286],0.035,mm,0.000,0.000,0.000,---,
71,AA區平面度[287],0.036,mm,0.000,0.000,0.000,---,
71,AA區平面度[288],0.032,mm,0.000,0.000,0.000,---,
71,AA區平面度[289],0.024,mm,0.000,0.000,0.000,---,
71,AA區平面度[290],0.015,mm,0.000,0.000,0.000,---,
71,AA區平面度[291],0.010,mm,0.000,0.000,0.000,---,
71,AA區平面度[292],0.006,mm,0.000,0.000,0.000,---,
71,AA區平面度[293],0.003,mm,0.000,0.000,0.000,---,
71,AA區平面度[294],-0.001,mm,0.000,0.000,0.000,---,
71,AA區平面度[295],-0.003,mm,0.000,0.000,0.000,---,
71,AA區平面度[296],-0.012,mm,0.000,0.000,0.000,---,
71,AA區平面度[297],-0.007,mm,0.000,0.000,0.000,---,
71,AA區平面度[298],-0.015,mm,0.000,0.000,0.000,---,
71,AA區平面度[299],-0.007,mm,0.000,0.000,0.000,---,
71,AA區平面度[300],-0.004,mm,0.000,0.000,0.000,---,
71,AA區平面度[301],-0.001,mm,0.000,0.000,0.000,---,
71,AA區平面度[302],0.004,mm,0.000,0.000,0.000,---,
71,AA區平面度[303],0.003,mm,0.000,0.000,0.000,---,
71,AA區平面度[304],0.015,mm,0.000,0.000,0.000,---,
71,AA區平面度[305],0.022,mm,0.000,0.000,0.000,---,
71,AA區平面度[306],0.031,mm,0.000,0.000,0.000,---,
71,AA區平面度[307],0.032,mm,0.000,0.000,0.000,---,
71,AA區平面度[308],0.046,mm,0.000,0.000,0.000,---,
72,2點間距離002,0.862,mm,0.000,0.000,0.000,---,
73,2點間距離003,0.014,mm,0.000,0.000,0.000,---,
74,2點間距離004,0.009,mm,0.000,0.000,0.000,---,
75,2點間距離005,0.026,mm,0.000,0.000,0.000,---,
76,2點間距離006,0.011,mm,0.000,0.000,0.000,---,
77,2點間距離007,0.011,mm,0.000,0.000,0.000,---,
78,2點間距離008,0.856,mm,0.000,0.000,0.000,---,
79,2點間距離009,0.834,mm,0.000,0.000,0.000,---,
80,2點間距離010,0.826,mm,0.000,0.000,0.000,---,
81,2點間距離011,0.815,mm,0.000,0.000,0.000,---,
82,2點間距離012,0.806,mm,0.000,0.000,0.000,---,
83,2點間距離013,0.805,mm,0.000,0.000,0.000,---,
84,2點間距離014,0.789,mm,0.000,0.000,0.000,---,
85,2點間距離015,0.780,mm,0.000,0.000,0.000,---,
86,2點間距離016,0.779,mm,0.000,0.000,0.000,---,
